									Iputs
22	2463.97	246	1.76	10.02	787.58	9.97%	0.00000000	macdThreshold=586	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
20	2440.22	242	1.76	10.08	787.58	9.98%	0.00000000	macdThreshold=597	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
5	2440.22	242	1.76	10.08	787.58	9.98%	0.00000000	macdThreshold=594	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
9	2390.78	241	1.74	9.92	787.58	9.98%	0.00000000	macdThreshold=601	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
16	2385.85	240	1.74	9.94	787.58	9.98%	0.00000000	macdThreshold=603	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
26	2360.31	235	1.73	10.04	787.58	10.01%	0.00000000	macdThreshold=611	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
17	2350.47	233	1.73	10.09	787.58	10.03%	0.00000000	macdThreshold=613	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
14	2242.40	228	1.74	9.84	816.33	10.03%	0.00000000	macdThreshold=617	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
1	2242.40	228	1.74	9.84	816.33	10.03%	0.00000000	macdThreshold=615	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
27	2171.76	226	1.76	9.61	816.33	10.12%	0.00000000	macdThreshold=620	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
30	2151.79	223	1.75	9.65	816.33	10.12%	0.00000000	macdThreshold=621	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
21	2141.95	221	1.75	9.69	816.33	10.12%	0.00000000	macdThreshold=630	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
12	2128.61	213	1.76	9.99	816.33	10.16%	0.00000000	macdThreshold=634	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
10	2069.60	210	1.77	9.86	816.33	10.24%	0.00000000	macdThreshold=639	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
2	2054.76	207	1.76	9.93	816.33	10.25%	0.00000000	macdThreshold=644	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
19	1859.24	189	1.77	9.84	816.33	10.32%	0.00000000	macdThreshold=659	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
11	1859.24	189	1.77	9.84	816.33	10.32%	0.00000000	macdThreshold=661	N=10 	macdFastEMA=1 	macdSlowEMA=24 	multTP=1.5 	orderDistance=330
